id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
1,Bitcoin,BTC,bitcoin,10951,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19673506.0,19673506.0,False,,1,,,,2024-04-05T04:43:00.000Z,67636.6405283858,35015010718.70165,11.1619,-0.30333243,3.46539511,-4.06089015,6.1872665,58.31083831,53.90463052,1330649853255.0413,52.8094,1420369451096.1,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
1027,Ethereum,ETH,ethereum,8723,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120139718.91617976,120139718.91617976,True,,2,,,,2024-04-05T04:42:00.000Z,3288.2807679509597,14540801540.585049,-2.323,-0.25780385,0.0902669,-8.08519337,-7.9221029,43.32428299,45.95711201,395053127179.10803,15.6784,395053127179.11,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
825,Tether USDt,USDT,tether,81279,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,106601457935.07361,109942615136.74486,True,,3,,,,2024-04-05T04:42:00.000Z,1.0003320293564695,68052792277.11847,-0.2062,0.01713663,0.03240285,0.04817969,-0.02962574,0.0736508,-0.06297739,106636852748.55049,4.2321,109979119312.5,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-05 04:43:56.057501+00:00
1839,BNB,BNB,bnb,2130,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149535345.44125548,149535345.44125548,False,,4,,,,2024-04-05T04:42:00.000Z,576.1046584712336,2138384577.043282,-4.9061,-0.66861233,-0.27837528,-5.71117542,44.60977729,89.86420825,86.86625968,86148009114.81242,3.4189,86148009114.81,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444928751.0370778,573356764.478676,True,,5,,,,2024-04-05T04:42:00.000Z,176.84308585581698,4105557157.7710633,6.0877,-1.42078708,-2.71117611,-6.37406653,43.85233425,83.29285137,79.52745884,78682573319.37137,3.1227,101394179526.72,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
3408,USDC,USDC,usd-coin,17887,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33025665520.599983,33025665520.599983,False,,6,,,,2024-04-05T04:42:00.000Z,0.9998401884653678,11546166199.231293,17.4366,-0.00837211,0.00134857,-0.00690702,-0.01890052,-0.04975854,-0.01623823,33020387638.310886,1.3099,33020387638.31,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-05 04:43:56.057501+00:00
52,XRP,XRP,xrp,1280,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55051549471.0,99987715632.0,False,,7,,,,2024-04-05T04:43:00.000Z,0.5838033348925931,2142656887.5529294,39.9584,-0.59076376,3.13291463,-6.29006496,-0.76531169,15.67689041,1.71532958,32139278172.174366,1.2755,58380333489.26,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
74,Dogecoin,DOGE,dogecoin,942,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143756206383.7052,143756206383.7052,True,,8,,,,2024-04-05T04:43:00.000Z,0.17417345722105249,2053601207.0935953,-20.412,-1.51189265,0.02917767,-19.21884431,13.79375901,122.86006187,112.27454146,25038515462.83307,0.9937,25038515462.83,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
2010,Cardano,ADA,cardano,1122,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35597249495.042,36771024607.588,False,,9,,,,2024-04-05T04:42:00.000Z,0.5735084820242139,471722280.5767865,3.0596,-0.38838222,1.55109321,-11.84789522,-15.95653025,15.361748,7.63074025,20415324522.138752,0.8102,25807881691.09,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
11419,Toncoin,TON,toncoin,246,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470534448.9819,5104957715.352165,True,,10,3414166606.0,17573626630.633648,,2024-04-05T04:42:00.000Z,5.147266861479474,154731097.17177537,16.897,-1.01280075,4.18193466,5.14415987,98.03863716,150.39723656,145.33349187,17863766960.86746,0.709,26276579677.49,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
5805,Avalanche,AVAX,avalanche,700,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377838377.9504299,436528017.9504299,False,,11,,,,2024-04-05T04:42:00.000Z,45.50269032466402,424055488.5520605,-19.7311,-0.63883209,-0.91008503,-16.37008493,16.7112868,30.09739605,27.90222194,17192662704.651775,0.6823,32568492310.93,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
5994,Shiba Inu,SHIB,shiba-inu,785,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,12,,,,2024-04-05T04:42:00.000Z,2.6871700418193453e-05,667682528.7545217,1.7419,-0.92672739,2.68307277,-13.84544669,-18.26300514,200.91987215,176.07998503,15835208506.972363,0.6285,15841783358.51,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-05 04:43:56.057501+00:00
1831,Bitcoin Cash,BCH,bitcoin-cash,869,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19687684.375,19687684.375,False,,13,,,,2024-04-05T04:42:00.000Z,708.6925284155491,2376946154.5912366,86.3724,1.91729762,13.84779416,23.24685788,79.34009303,200.60951379,193.91743101,13952514818.366049,0.5537,14882543096.73,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
6636,Polkadot,DOT,polkadot-new,726,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1430042292.62819,1430042292.62819,True,,14,,,,2024-04-05T04:43:00.000Z,8.336465653377909,231135090.12167048,-5.4755,-0.74507817,0.1814479,-11.89208962,-9.84891821,21.9702092,14.17565098,11921498455.372707,0.4731,11921498455.37,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
1958,TRON,TRX,tron,962,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87700946066.86624,87700958677.71301,True,,15,71659659264.0,8521175625.189856,,2024-04-05T04:42:00.000Z,0.1189117519216377,278758456.09413904,-10.2495,-0.16314286,1.55683987,-1.38535225,-12.68262843,-0.49438408,14.73597943,10428673141.996126,0.4139,10428674641.57,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.057501+00:00
1,Bitcoin,BTC,bitcoin,10951,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19673506.0,19673506.0,False,,1,,,,2024-04-05T04:43:00.000Z,67636.6405283858,35015010718.70165,11.1619,-0.30333243,3.46539511,-4.06089015,6.1872665,58.31083831,53.90463052,1330649853255.0413,52.8094,1420369451096.1,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
1027,Ethereum,ETH,ethereum,8723,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120139718.91617976,120139718.91617976,True,,2,,,,2024-04-05T04:42:00.000Z,3288.2807679509597,14540801540.585049,-2.323,-0.25780385,0.0902669,-8.08519337,-7.9221029,43.32428299,45.95711201,395053127179.10803,15.6784,395053127179.11,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
825,Tether USDt,USDT,tether,81279,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,106601457935.07361,109942615136.74486,True,,3,,,,2024-04-05T04:42:00.000Z,1.0003320293564695,68052792277.11847,-0.2062,0.01713663,0.03240285,0.04817969,-0.02962574,0.0736508,-0.06297739,106636852748.55049,4.2321,109979119312.5,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-05 04:43:56.412809+00:00
1839,BNB,BNB,bnb,2130,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149535345.44125548,149535345.44125548,False,,4,,,,2024-04-05T04:42:00.000Z,576.1046584712336,2138384577.043282,-4.9061,-0.66861233,-0.27837528,-5.71117542,44.60977729,89.86420825,86.86625968,86148009114.81242,3.4189,86148009114.81,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444928751.0370778,573356764.478676,True,,5,,,,2024-04-05T04:42:00.000Z,176.84308585581698,4105557157.7710633,6.0877,-1.42078708,-2.71117611,-6.37406653,43.85233425,83.29285137,79.52745884,78682573319.37137,3.1227,101394179526.72,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
3408,USDC,USDC,usd-coin,17887,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33025665520.599983,33025665520.599983,False,,6,,,,2024-04-05T04:42:00.000Z,0.9998401884653678,11546166199.231293,17.4366,-0.00837211,0.00134857,-0.00690702,-0.01890052,-0.04975854,-0.01623823,33020387638.310886,1.3099,33020387638.31,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-05 04:43:56.412809+00:00
52,XRP,XRP,xrp,1280,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55051549471.0,99987715632.0,False,,7,,,,2024-04-05T04:43:00.000Z,0.5838033348925931,2142656887.5529294,39.9584,-0.59076376,3.13291463,-6.29006496,-0.76531169,15.67689041,1.71532958,32139278172.174366,1.2755,58380333489.26,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
74,Dogecoin,DOGE,dogecoin,942,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143756206383.7052,143756206383.7052,True,,8,,,,2024-04-05T04:43:00.000Z,0.17417345722105249,2053601207.0935953,-20.412,-1.51189265,0.02917767,-19.21884431,13.79375901,122.86006187,112.27454146,25038515462.83307,0.9937,25038515462.83,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
2010,Cardano,ADA,cardano,1122,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35597249495.042,36771024607.588,False,,9,,,,2024-04-05T04:42:00.000Z,0.5735084820242139,471722280.5767865,3.0596,-0.38838222,1.55109321,-11.84789522,-15.95653025,15.361748,7.63074025,20415324522.138752,0.8102,25807881691.09,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
11419,Toncoin,TON,toncoin,246,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470534448.9819,5104957715.352165,True,,10,3414166606.0,17573626630.633648,,2024-04-05T04:42:00.000Z,5.147266861479474,154731097.17177537,16.897,-1.01280075,4.18193466,5.14415987,98.03863716,150.39723656,145.33349187,17863766960.86746,0.709,26276579677.49,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
5805,Avalanche,AVAX,avalanche,700,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377838377.9504299,436528017.9504299,False,,11,,,,2024-04-05T04:42:00.000Z,45.50269032466402,424055488.5520605,-19.7311,-0.63883209,-0.91008503,-16.37008493,16.7112868,30.09739605,27.90222194,17192662704.651775,0.6823,32568492310.93,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
5994,Shiba Inu,SHIB,shiba-inu,785,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,12,,,,2024-04-05T04:42:00.000Z,2.6871700418193453e-05,667682528.7545217,1.7419,-0.92672739,2.68307277,-13.84544669,-18.26300514,200.91987215,176.07998503,15835208506.972363,0.6285,15841783358.51,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-05 04:43:56.412809+00:00
1831,Bitcoin Cash,BCH,bitcoin-cash,869,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19687684.375,19687684.375,False,,13,,,,2024-04-05T04:42:00.000Z,708.6925284155491,2376946154.5912366,86.3724,1.91729762,13.84779416,23.24685788,79.34009303,200.60951379,193.91743101,13952514818.366049,0.5537,14882543096.73,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
6636,Polkadot,DOT,polkadot-new,726,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1430042292.62819,1430042292.62819,True,,14,,,,2024-04-05T04:43:00.000Z,8.336465653377909,231135090.12167048,-5.4755,-0.74507817,0.1814479,-11.89208962,-9.84891821,21.9702092,14.17565098,11921498455.372707,0.4731,11921498455.37,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
